Transactions,item1,item2,item3,item4,item5,item6,item7
464,baguette,sardines,apples,peppers,avocado,herring,soda
465,avocado,crackers,artichoke,Heineken,ham,turkey,ice cream
466,corned beef,peppers,bourbon,crackers,chicken,soda,ham
467,olives,bourbon,Coke,turkey,ice cream,crackers,baguette
468,baguette,soda,herring,crackers,Heineken,corned beef,ice cream
469,corned beef,peppers,bourbon,crackers,chicken,artichoke,artichoke
470,baguette,soda,herring,crackers,Heineken,corned beef,ham
471,soda,olives,bourbon,crackers,Heineken,ice cream,turkey
472,baguette,sardines,apples,peppers,avocado,corned beef,olives
473,soda,olives,bourbon,crackers,Heineken,artichoke,ham
474,herring,corned beef,apples,olives,steak,peppers,bourbon
475,soda,olives,bourbon,crackers,Heineken,peppers,artichoke
476,herring,corned beef,olives,ham,turkey,Bordeaux,baguette
477,avocado,crackers,artichoke,Heineken,ham,sardines,ice cream
478,baguette,soda,herring,crackers,Heineken,steak,steak
479,avocado,crackers,artichoke,Heineken,ham,herring,peppers
480,olives,bourbon,Coke,turkey,ice cream,chicken,chicken
481,herring,corned beef,apples,olives,steak,chicken,ice cream
482,herring,corned beef,olives,ham,turkey,avocado,apples
483,baguette,soda,herring,crackers,Heineken,steak,ham
484,herring,corned beef,olives,ham,turkey,Coke,ice cream
485,baguette,sardines,apples,peppers,avocado,bourbon,crackers
486,baguette,soda,herring,crackers,Heineken,steak,avocado
487,herring,corned beef,apples,olives,steak,chicken,turkey
488,baguette,soda,herring,crackers,Heineken,corned beef,turkey
489,sardines,Heineken,chicken,Coke,ice cream,ham,corned beef
490,herring,corned beef,olives,ham,turkey,Bordeaux,peppers
491,corned beef,peppers,bourbon,crackers,chicken,ice cream,herring
492,herring,corned beef,apples,olives,steak,avocado,peppers
493,herring,corned beef,apples,olives,steak,artichoke,ice cream
494,sardines,Heineken,chicken,Coke,ice cream,olives,bourbon
495,avocado,crackers,artichoke,Heineken,ham,bourbon,soda
496,corned beef,peppers,bourbon,crackers,chicken,olives,artichoke
497,baguette,herring,avocado,artichoke,Heineken,olives,apples
498,sardines,Heineken,chicken,Coke,ice cream,avocado,peppers
499,herring,corned beef,olives,ham,turkey,steak,apples
500,sardines,Heineken,chicken,Coke,ice cream,herring,herring
501,sardines,Heineken,chicken,Coke,ice cream,apples,corned beef
502,herring,corned beef,apples,olives,steak,turkey,ice cream
503,baguette,herring,avocado,artichoke,Heineken,apples,peppers
504,sardines,Heineken,chicken,Coke,ice cream,baguette,herring
505,soda,olives,bourbon,crackers,Heineken,chicken,ice cream
506,baguette,sardines,apples,peppers,avocado,turkey,ham
507,baguette,soda,herring,crackers,Heineken,artichoke,turkey
508,baguette,herring,avocado,artichoke,Heineken,crackers,chicken
509,avocado,crackers,artichoke,Heineken,ham,ice cream,corned beef
510,olives,bourbon,Coke,turkey,ice cream,Heineken,steak
511,baguette,sardines,apples,peppers,avocado,steak,Heineken
512,avocado,crackers,artichoke,Heineken,ham,Coke,apples
513,corned beef,peppers,bourbon,crackers,chicken,Heineken,avocado
514,soda,olives,bourbon,crackers,Heineken,herring,steak
515,olives,bourbon,Coke,turkey,ice cream,baguette,chicken
516,baguette,soda,herring,crackers,Heineken,sardines,olives
517,olives,bourbon,Coke,turkey,ice cream,herring,Heineken
518,soda,olives,bourbon,crackers,Heineken,peppers,ham
519,corned beef,peppers,bourbon,crackers,chicken,soda,sardines
520,sardines,Heineken,chicken,Coke,ice cream,soda,baguette
521,corned beef,peppers,bourbon,crackers,chicken,artichoke,Coke
522,sardines,Heineken,chicken,Coke,ice cream,artichoke,bourbon
523,olives,bourbon,Coke,turkey,ice cream,avocado,sardines
524,baguette,sardines,apples,peppers,avocado,crackers,crackers
525,avocado,crackers,artichoke,Heineken,ham,peppers,Coke
526,herring,corned beef,apples,olives,steak,Bordeaux,avocado
527,baguette,herring,avocado,artichoke,Heineken,peppers,ham
528,baguette,sardines,apples,peppers,avocado,Heineken,ham
529,baguette,herring,avocado,artichoke,Heineken,bourbon,chicken
530,baguette,soda,herring,crackers,Heineken,sardines,artichoke
531,sardines,Heineken,chicken,Coke,ice cream,artichoke,turkey
532,corned beef,peppers,bourbon,crackers,chicken,herring,artichoke
533,soda,olives,bourbon,crackers,Heineken,ice cream,ice cream
534,baguette,sardines,apples,peppers,avocado,corned beef,crackers
535,olives,bourbon,Coke,turkey,ice cream,artichoke,crackers
536,avocado,crackers,artichoke,Heineken,ham,peppers,steak
537,herring,corned beef,olives,ham,turkey,bourbon,sardines
538,avocado,crackers,artichoke,Heineken,ham,peppers,ice cream
539,olives,bourbon,Coke,turkey,ice cream,steak,ham
540,baguette,herring,avocado,artichoke,Heineken,Coke,ice cream
541,soda,olives,bourbon,crackers,Heineken,turkey,herring
542,herring,corned beef,apples,olives,steak,ham,baguette
543,herring,corned beef,olives,ham,turkey,Heineken,soda
544,herring,corned beef,olives,ham,turkey,peppers,baguette
545,herring,corned beef,olives,ham,turkey,Coke,bourbon
546,herring,corned beef,apples,olives,steak,sardines,turkey
547,soda,olives,bourbon,crackers,Heineken,apples,artichoke
548,herring,corned beef,olives,ham,turkey,Heineken,crackers
549,avocado,crackers,artichoke,Heineken,ham,olives,Coke
550,herring,corned beef,apples,olives,steak,soda,Coke
551,baguette,herring,avocado,artichoke,Heineken,ham,ice cream
552,baguette,herring,avocado,artichoke,Heineken,ice cream,steak
553,baguette,soda,herring,crackers,Heineken,peppers,Coke
554,corned beef,peppers,bourbon,crackers,chicken,Heineken,sardines
555,sardines,Heineken,chicken,Coke,ice cream,olives,ham
556,herring,corned beef,apples,olives,steak,avocado,ham
557,herring,corned beef,apples,olives,steak,Bordeaux,artichoke
558,herring,corned beef,olives,ham,turkey,bourbon,crackers
559,baguette,soda,herring,crackers,Heineken,sardines,avocado
560,sardines,Heineken,chicken,Coke,ice cream,Bordeaux,steak
561,avocado,crackers,artichoke,Heineken,ham,Bordeaux,ice cream
562,sardines,Heineken,chicken,Coke,ice cream,soda,ham
563,herring,corned beef,olives,ham,turkey,baguette,artichoke
564,baguette,herring,avocado,artichoke,Heineken,peppers,peppers
565,baguette,sardines,apples,peppers,avocado,corned beef,olives
566,baguette,sardines,apples,peppers,avocado,soda,olives
567,baguette,soda,herring,crackers,Heineken,chicken,olives
568,baguette,soda,herring,crackers,Heineken,bourbon,sardines
569,sardines,Heineken,chicken,Coke,ice cream,bourbon,soda
570,baguette,soda,herring,crackers,Heineken,olives,avocado
571,sardines,Heineken,chicken,Coke,ice cream,avocado,olives
572,avocado,crackers,artichoke,Heineken,ham,bourbon,ice cream
573,baguette,soda,herring,crackers,Heineken,chicken,steak
574,herring,corned beef,olives,ham,turkey,artichoke,steak
575,baguette,soda,herring,crackers,Heineken,apples,steak
576,baguette,sardines,apples,peppers,avocado,turkey,corned beef
577,olives,bourbon,Coke,turkey,ice cream,Bordeaux,corned beef
578,sardines,Heineken,chicken,Coke,ice cream,artichoke,steak
579,soda,olives,bourbon,crackers,Heineken,Bordeaux,chicken
580,corned beef,peppers,bourbon,crackers,chicken,Coke,soda
581,herring,corned beef,olives,ham,turkey,soda,crackers
582,herring,corned beef,apples,olives,steak,baguette,peppers
583,baguette,sardines,apples,peppers,avocado,herring,ice cream
584,corned beef,peppers,bourbon,crackers,chicken,Bordeaux,ice cream
585,corned beef,peppers,bourbon,crackers,chicken,steak,baguette
586,corned beef,peppers,bourbon,crackers,chicken,baguette,ham
587,baguette,sardines,apples,peppers,avocado,artichoke,crackers
588,corned beef,peppers,bourbon,crackers,chicken,apples,baguette
589,baguette,sardines,apples,peppers,avocado,bourbon,bourbon
590,herring,corned beef,olives,ham,turkey,bourbon,peppers
591,olives,bourbon,Coke,turkey,ice cream,peppers,soda
592,herring,corned beef,apples,olives,steak,bourbon,avocado
593,avocado,crackers,artichoke,Heineken,ham,turkey,herring
594,corned beef,peppers,bourbon,crackers,chicken,ham,steak
595,sardines,Heineken,chicken,Coke,ice cream,crackers,baguette
596,sardines,Heineken,chicken,Coke,ice cream,olives,peppers
597,baguette,soda,herring,crackers,Heineken,artichoke,peppers
598,baguette,sardines,apples,peppers,avocado,steak,olives
599,baguette,soda,herring,crackers,Heineken,chicken,chicken
600,soda,olives,bourbon,crackers,Heineken,steak,herring
601,olives,bourbon,Coke,turkey,ice cream,corned beef,apples
602,herring,corned beef,apples,olives,steak,artichoke,sardines
603,olives,bourbon,Coke,turkey,ice cream,ham,apples
604,corned beef,peppers,bourbon,crackers,chicken,baguette,steak
605,sardines,Heineken,chicken,Coke,ice cream,Bordeaux,bourbon
606,herring,corned beef,apples,olives,steak,bourbon,Coke
607,sardines,Heineken,chicken,Coke,ice cream,peppers,bourbon
608,corned beef,peppers,bourbon,crackers,chicken,ham,steak
609,herring,corned beef,olives,ham,turkey,Coke,crackers
610,sardines,Heineken,chicken,Coke,ice cream,avocado,olives
611,sardines,Heineken,chicken,Coke,ice cream,corned beef,turkey
612,baguette,herring,avocado,artichoke,Heineken,chicken,apples
613,avocado,crackers,artichoke,Heineken,ham,baguette,Coke
614,soda,olives,bourbon,crackers,Heineken,herring,peppers
615,olives,bourbon,Coke,turkey,ice cream,sardines,steak
616,soda,olives,bourbon,crackers,Heineken,peppers,chicken
617,soda,olives,bourbon,crackers,Heineken,herring,Coke
618,soda,olives,bourbon,crackers,Heineken,corned beef,steak
619,herring,corned beef,apples,olives,steak,avocado,peppers
620,olives,bourbon,Coke,turkey,ice cream,peppers,peppers
621,olives,bourbon,Coke,turkey,ice cream,herring,artichoke
622,corned beef,peppers,bourbon,crackers,chicken,turkey,apples
623,corned beef,peppers,bourbon,crackers,chicken,baguette,Coke
624,soda,olives,bourbon,crackers,Heineken,herring,Coke
625,corned beef,peppers,bourbon,crackers,chicken,soda,artichoke
626,olives,bourbon,Coke,turkey,ice cream,Bordeaux,crackers
627,baguette,soda,herring,crackers,Heineken,apples,olives
628,baguette,herring,avocado,artichoke,Heineken,ice cream,sardines
629,baguette,herring,avocado,artichoke,Heineken,chicken,turkey
630,baguette,soda,herring,crackers,Heineken,peppers,chicken
631,soda,olives,bourbon,crackers,Heineken,peppers,turkey
632,olives,bourbon,Coke,turkey,ice cream,sardines,apples
633,corned beef,peppers,bourbon,crackers,chicken,Bordeaux,ice cream
634,baguette,sardines,apples,peppers,avocado,ice cream,ice cream
635,baguette,herring,avocado,artichoke,Heineken,apples,soda
636,herring,corned beef,olives,ham,turkey,baguette,bourbon
637,baguette,soda,herring,crackers,Heineken,Coke,ice cream
638,baguette,herring,avocado,artichoke,Heineken,olives,corned beef
639,avocado,crackers,artichoke,Heineken,ham,sardines,sardines
640,herring,corned beef,apples,olives,steak,sardines,chicken
641,baguette,sardines,apples,peppers,avocado,Bordeaux,artichoke
642,avocado,crackers,artichoke,Heineken,ham,sardines,steak
643,baguette,soda,herring,crackers,Heineken,turkey,artichoke
644,sardines,Heineken,chicken,Coke,ice cream,baguette,artichoke
645,soda,olives,bourbon,crackers,Heineken,steak,chicken
646,baguette,sardines,apples,peppers,avocado,steak,bourbon
647,soda,olives,bourbon,crackers,Heineken,ham,turkey
648,soda,olives,bourbon,crackers,Heineken,steak,baguette
649,avocado,crackers,artichoke,Heineken,ham,bourbon,apples
650,olives,bourbon,Coke,turkey,ice cream,soda,sardines
651,baguette,soda,herring,crackers,Heineken,corned beef,avocado
652,olives,bourbon,Coke,turkey,ice cream,steak,artichoke
653,herring,corned beef,olives,ham,turkey,ice cream,ice cream
654,olives,bourbon,Coke,turkey,ice cream,chicken,crackers
655,baguette,herring,avocado,artichoke,Heineken,Coke,ham
656,soda,olives,bourbon,crackers,Heineken,apples,artichoke
657,baguette,sardines,apples,peppers,avocado,steak,Coke
658,avocado,crackers,artichoke,Heineken,ham,herring,chicken
659,olives,bourbon,Coke,turkey,ice cream,Bordeaux,apples
660,herring,corned beef,apples,olives,steak,chicken,artichoke
661,sardines,Heineken,chicken,Coke,ice cream,crackers,apples
662,herring,corned beef,apples,olives,steak,crackers,peppers
663,baguette,soda,herring,crackers,Heineken,olives,apples
664,herring,corned beef,apples,olives,steak,ice cream,soda
665,baguette,herring,avocado,artichoke,Heineken,ice cream,soda
666,baguette,sardines,apples,peppers,avocado,ice cream,bourbon
667,baguette,herring,avocado,artichoke,Heineken,Bordeaux,peppers
668,corned beef,peppers,bourbon,crackers,chicken,steak,baguette
669,corned beef,peppers,bourbon,crackers,chicken,apples,Heineken
670,olives,bourbon,Coke,turkey,ice cream,sardines,peppers
671,herring,corned beef,olives,ham,turkey,bourbon,Heineken
672,olives,bourbon,Coke,turkey,ice cream,peppers,steak
673,baguette,herring,avocado,artichoke,Heineken,sardines,corned beef
674,olives,bourbon,Coke,turkey,ice cream,baguette,steak
675,soda,olives,bourbon,crackers,Heineken,sardines,Coke
676,herring,corned beef,apples,olives,steak,sardines,peppers
677,sardines,Heineken,chicken,Coke,ice cream,ham,avocado
678,avocado,crackers,artichoke,Heineken,ham,apples,ice cream
679,corned beef,peppers,bourbon,crackers,chicken,avocado,soda
680,herring,corned beef,olives,ham,turkey,apples,avocado
681,soda,olives,bourbon,crackers,Heineken,corned beef,apples
682,herring,corned beef,apples,olives,steak,ice cream,artichoke
683,corned beef,peppers,bourbon,crackers,chicken,steak,steak
684,corned beef,peppers,bourbon,crackers,chicken,Bordeaux,ice cream
685,baguette,soda,herring,crackers,Heineken,olives,ice cream
686,baguette,sardines,apples,peppers,avocado,soda,olives
687,soda,olives,bourbon,crackers,Heineken,herring,chicken
688,herring,corned beef,apples,olives,steak,ice cream,baguette
689,corned beef,peppers,bourbon,crackers,chicken,artichoke,artichoke
690,baguette,herring,avocado,artichoke,Heineken,turkey,steak
691,herring,corned beef,apples,olives,steak,avocado,peppers
692,baguette,sardines,apples,peppers,avocado,Coke,chicken
693,baguette,herring,avocado,artichoke,Heineken,sardines,apples
694,baguette,soda,herring,crackers,Heineken,peppers,chicken
695,olives,bourbon,Coke,turkey,ice cream,steak,steak
696,avocado,crackers,artichoke,Heineken,ham,peppers,corned beef
697,soda,olives,bourbon,crackers,Heineken,Bordeaux,artichoke
698,baguette,soda,herring,crackers,Heineken,chicken,turkey
699,soda,olives,bourbon,crackers,Heineken,artichoke,herring
700,baguette,sardines,apples,peppers,avocado,herring,bourbon
701,avocado,crackers,artichoke,Heineken,ham,Coke,sardines
702,baguette,sardines,apples,peppers,avocado,bourbon,soda
703,corned beef,peppers,bourbon,crackers,chicken,avocado,sardines
704,sardines,Heineken,chicken,Coke,ice cream,artichoke,bourbon
705,baguette,herring,avocado,artichoke,Heineken,apples,soda
706,avocado,crackers,artichoke,Heineken,ham,corned beef,peppers
707,corned beef,peppers,bourbon,crackers,chicken,steak,soda
708,baguette,herring,avocado,artichoke,Heineken,Bordeaux,crackers
709,avocado,crackers,artichoke,Heineken,ham,ice cream,olives
710,herring,corned beef,olives,ham,turkey,crackers,chicken
711,sardines,Heineken,chicken,Coke,ice cream,baguette,olives
712,sardines,Heineken,chicken,Coke,ice cream,artichoke,artichoke
713,herring,corned beef,olives,ham,turkey,Heineken,crackers
714,herring,corned beef,apples,olives,steak,sardines,chicken
715,avocado,crackers,artichoke,Heineken,ham,corned beef,olives
716,olives,bourbon,Coke,turkey,ice cream,ham,artichoke
717,corned beef,peppers,bourbon,crackers,chicken,baguette,Heineken
718,herring,corned beef,olives,ham,turkey,peppers,apples
719,herring,corned beef,olives,ham,turkey,Heineken,Heineken
720,olives,bourbon,Coke,turkey,ice cream,ham,baguette
721,baguette,herring,avocado,artichoke,Heineken,corned beef,steak
722,baguette,soda,herring,crackers,Heineken,avocado,steak
723,olives,bourbon,Coke,turkey,ice cream,Heineken,baguette
724,herring,corned beef,olives,ham,turkey,crackers,avocado
725,avocado,crackers,artichoke,Heineken,ham,peppers,corned beef
726,soda,olives,bourbon,crackers,Heineken,avocado,avocado
727,baguette,soda,herring,crackers,Heineken,artichoke,turkey
728,olives,bourbon,Coke,turkey,ice cream,crackers,baguette
729,sardines,Heineken,chicken,Coke,ice cream,baguette,steak
730,baguette,herring,avocado,artichoke,Heineken,olives,crackers
731,herring,corned beef,olives,ham,turkey,chicken,sardines
732,avocado,crackers,artichoke,Heineken,ham,apples,baguette
733,soda,olives,bourbon,crackers,Heineken,steak,corned beef
734,herring,corned beef,olives,ham,turkey,Bordeaux,steak
735,baguette,soda,herring,crackers,Heineken,Bordeaux,peppers
736,olives,bourbon,Coke,turkey,ice cream,peppers,peppers
737,avocado,crackers,artichoke,Heineken,ham,turkey,corned beef
738,baguette,herring,avocado,artichoke,Heineken,chicken,bourbon
739,corned beef,peppers,bourbon,crackers,chicken,steak,ice cream
740,soda,olives,bourbon,crackers,Heineken,ice cream,peppers
741,baguette,soda,herring,crackers,Heineken,Coke,Coke
742,herring,corned beef,apples,olives,steak,sardines,crackers
743,baguette,soda,herring,crackers,Heineken,olives,apples
744,avocado,crackers,artichoke,Heineken,ham,Bordeaux,olives
745,herring,corned beef,apples,olives,steak,Bordeaux,ham
746,baguette,herring,avocado,artichoke,Heineken,apples,bourbon
747,soda,olives,bourbon,crackers,Heineken,peppers,steak
748,baguette,soda,herring,crackers,Heineken,olives,avocado
749,olives,bourbon,Coke,turkey,ice cream,baguette,apples
750,soda,olives,bourbon,crackers,Heineken,turkey,herring
751,baguette,herring,avocado,artichoke,Heineken,corned beef,crackers
752,herring,corned beef,apples,olives,steak,ham,Heineken
753,corned beef,peppers,bourbon,crackers,chicken,artichoke,Heineken
754,baguette,soda,herring,crackers,Heineken,avocado,steak
755,herring,corned beef,olives,ham,turkey,steak,avocado
756,sardines,Heineken,chicken,Coke,ice cream,soda,artichoke
757,olives,bourbon,Coke,turkey,ice cream,steak,Heineken
758,herring,corned beef,apples,olives,steak,artichoke,chicken
759,corned beef,peppers,bourbon,crackers,chicken,soda,herring
760,sardines,Heineken,chicken,Coke,ice cream,ham,ham
761,sardines,Heineken,chicken,Coke,ice cream,herring,corned beef
762,sardines,Heineken,chicken,Coke,ice cream,apples,apples
763,corned beef,peppers,bourbon,crackers,chicken,apples,olives
764,herring,corned beef,olives,ham,turkey,bourbon,chicken
765,soda,olives,bourbon,crackers,Heineken,Coke,apples
766,baguette,sardines,apples,peppers,avocado,artichoke,artichoke
767,baguette,soda,herring,crackers,Heineken,artichoke,avocado
768,baguette,sardines,apples,peppers,avocado,Heineken,Coke
769,herring,corned beef,olives,ham,turkey,baguette,avocado
770,soda,olives,bourbon,crackers,Heineken,Bordeaux,ice cream
771,baguette,sardines,apples,peppers,avocado,ham,herring
772,herring,corned beef,olives,ham,turkey,Heineken,sardines
773,avocado,crackers,artichoke,Heineken,ham,herring,olives
774,soda,olives,bourbon,crackers,Heineken,peppers,artichoke
775,baguette,sardines,apples,peppers,avocado,corned beef,Coke
776,sardines,Heineken,chicken,Coke,ice cream,apples,ham
777,corned beef,peppers,bourbon,crackers,chicken,Coke,herring
778,baguette,herring,avocado,artichoke,Heineken,Bordeaux,crackers
779,olives,bourbon,Coke,turkey,ice cream,apples,artichoke
780,baguette,herring,avocado,artichoke,Heineken,steak,steak
781,baguette,soda,herring,crackers,Heineken,ham,sardines
782,herring,corned beef,olives,ham,turkey,peppers,ice cream
783,soda,olives,bourbon,crackers,Heineken,herring,baguette
784,baguette,herring,avocado,artichoke,Heineken,Coke,steak
785,sardines,Heineken,chicken,Coke,ice cream,bourbon,artichoke
786,soda,olives,bourbon,crackers,Heineken,ice cream,ice cream
787,avocado,crackers,artichoke,Heineken,ham,turkey,herring
788,herring,corned beef,apples,olives,steak,Bordeaux,crackers
789,herring,corned beef,olives,ham,turkey,Heineken,bourbon
790,baguette,soda,herring,crackers,Heineken,ice cream,apples
791,sardines,Heineken,chicken,Coke,ice cream,Bordeaux,turkey
792,olives,bourbon,Coke,turkey,ice cream,sardines,ham
793,olives,bourbon,Coke,turkey,ice cream,herring,crackers
794,herring,corned beef,apples,olives,steak,baguette,ice cream
795,baguette,soda,herring,crackers,Heineken,Bordeaux,ice cream
796,avocado,crackers,artichoke,Heineken,ham,turkey,sardines
797,soda,olives,bourbon,crackers,Heineken,peppers,chicken
798,baguette,sardines,apples,peppers,avocado,turkey,crackers
799,baguette,soda,herring,crackers,Heineken,avocado,ham
800,olives,bourbon,Coke,turkey,ice cream,soda,apples
801,baguette,herring,avocado,artichoke,Heineken,turkey,chicken
802,herring,corned beef,apples,olives,steak,bourbon,bourbon
803,avocado,crackers,artichoke,Heineken,ham,soda,peppers
804,baguette,herring,avocado,artichoke,Heineken,crackers,crackers
805,corned beef,peppers,bourbon,crackers,chicken,baguette,soda
806,baguette,soda,herring,crackers,Heineken,bourbon,ice cream
807,avocado,crackers,artichoke,Heineken,ham,sardines,corned beef
808,herring,corned beef,olives,ham,turkey,bourbon,soda
809,olives,bourbon,Coke,turkey,ice cream,soda,corned beef
810,baguette,sardines,apples,peppers,avocado,herring,ham
811,avocado,crackers,artichoke,Heineken,ham,olives,bourbon
812,baguette,sardines,apples,peppers,avocado,Coke,corned beef
813,sardines,Heineken,chicken,Coke,ice cream,herring,artichoke
814,soda,olives,bourbon,crackers,Heineken,baguette,herring
815,baguette,sardines,apples,peppers,avocado,artichoke,Heineken
816,olives,bourbon,Coke,turkey,ice cream,ham,corned beef
817,corned beef,peppers,bourbon,crackers,chicken,baguette,apples
818,soda,olives,bourbon,crackers,Heineken,apples,apples
819,baguette,herring,avocado,artichoke,Heineken,crackers,sardines
820,soda,olives,bourbon,crackers,Heineken,baguette,chicken
821,herring,corned beef,apples,olives,steak,sardines,soda
822,baguette,soda,herring,crackers,Heineken,avocado,chicken
823,baguette,herring,avocado,artichoke,Heineken,apples,apples
824,baguette,sardines,apples,peppers,avocado,Heineken,ice cream
825,baguette,soda,herring,crackers,Heineken,Coke,Coke
826,sardines,Heineken,chicken,Coke,ice cream,crackers,apples
827,baguette,soda,herring,crackers,Heineken,steak,chicken
828,avocado,crackers,artichoke,Heineken,ham,steak,steak
829,baguette,herring,avocado,artichoke,Heineken,ham,chicken
830,corned beef,peppers,bourbon,crackers,chicken,Heineken,artichoke
831,herring,corned beef,olives,ham,turkey,Bordeaux,baguette
832,corned beef,peppers,bourbon,crackers,chicken,Heineken,turkey
833,baguette,soda,herring,crackers,Heineken,artichoke,chicken
834,sardines,Heineken,chicken,Coke,ice cream,apples,ham
835,olives,bourbon,Coke,turkey,ice cream,herring,sardines
836,baguette,soda,herring,crackers,Heineken,apples,sardines
837,baguette,herring,avocado,artichoke,Heineken,apples,apples
838,baguette,herring,avocado,artichoke,Heineken,Bordeaux,ham
839,avocado,crackers,artichoke,Heineken,ham,olives,steak
840,baguette,soda,herring,crackers,Heineken,chicken,ice cream
841,baguette,soda,herring,crackers,Heineken,bourbon,olives
842,sardines,Heineken,chicken,Coke,ice cream,crackers,ham
843,avocado,crackers,artichoke,Heineken,ham,Coke,soda
844,corned beef,peppers,bourbon,crackers,chicken,soda,olives
845,baguette,sardines,apples,peppers,avocado,bourbon,bourbon
846,herring,corned beef,olives,ham,turkey,chicken,apples
847,sardines,Heineken,chicken,Coke,ice cream,baguette,bourbon
848,baguette,soda,herring,crackers,Heineken,corned beef,artichoke
849,olives,bourbon,Coke,turkey,ice cream,baguette,Heineken
850,avocado,crackers,artichoke,Heineken,ham,Bordeaux,peppers
851,herring,corned beef,olives,ham,turkey,Coke,apples
852,sardines,Heineken,chicken,Coke,ice cream,peppers,olives
853,herring,corned beef,olives,ham,turkey,artichoke,baguette
854,soda,olives,bourbon,crackers,Heineken,herring,steak
855,olives,bourbon,Coke,turkey,ice cream,artichoke,ham
856,baguette,sardines,apples,peppers,avocado,steak,corned beef
857,sardines,Heineken,chicken,Coke,ice cream,apples,artichoke
858,herring,corned beef,olives,ham,turkey,ice cream,steak
859,herring,corned beef,apples,olives,steak,Bordeaux,turkey
860,corned beef,peppers,bourbon,crackers,chicken,baguette,artichoke
861,baguette,sardines,apples,peppers,avocado,crackers,Heineken
862,herring,corned beef,olives,ham,turkey,avocado,artichoke
863,olives,bourbon,Coke,turkey,ice cream,steak,soda
864,herring,corned beef,olives,ham,turkey,steak,Heineken
865,sardines,Heineken,chicken,Coke,ice cream,soda,apples
866,soda,olives,bourbon,crackers,Heineken,turkey,sardines
867,herring,corned beef,apples,olives,steak,crackers,sardines
868,baguette,sardines,apples,peppers,avocado,Coke,ice cream
869,avocado,crackers,artichoke,Heineken,ham,Bordeaux,herring
870,herring,corned beef,apples,olives,steak,ham,ham
871,corned beef,peppers,bourbon,crackers,chicken,Heineken,sardines
872,herring,corned beef,olives,ham,turkey,artichoke,bourbon
873,herring,corned beef,apples,olives,steak,ham,Coke
874,herring,corned beef,olives,ham,turkey,apples,bourbon
875,baguette,soda,herring,crackers,Heineken,artichoke,turkey
876,sardines,Heineken,chicken,Coke,ice cream,bourbon,olives
877,avocado,crackers,artichoke,Heineken,ham,Bordeaux,corned beef
878,herring,corned beef,olives,ham,turkey,sardines,steak
879,sardines,Heineken,chicken,Coke,ice cream,olives,corned beef
880,soda,olives,bourbon,crackers,Heineken,chicken,apples
881,sardines,Heineken,chicken,Coke,ice cream,herring,bourbon
882,sardines,Heineken,chicken,Coke,ice cream,bourbon,peppers
883,herring,corned beef,apples,olives,steak,Bordeaux,baguette
884,avocado,crackers,artichoke,Heineken,ham,soda,bourbon
885,baguette,herring,avocado,artichoke,Heineken,olives,olives
886,corned beef,peppers,bourbon,crackers,chicken,artichoke,herring
887,olives,bourbon,Coke,turkey,ice cream,soda,sardines
888,sardines,Heineken,chicken,Coke,ice cream,peppers,crackers
889,avocado,crackers,artichoke,Heineken,ham,apples,peppers
890,baguette,herring,avocado,artichoke,Heineken,olives,chicken
891,baguette,herring,avocado,artichoke,Heineken,bourbon,corned beef
892,corned beef,peppers,bourbon,crackers,chicken,apples,soda
893,soda,olives,bourbon,crackers,Heineken,ice cream,apples
894,baguette,herring,avocado,artichoke,Heineken,steak,chicken
895,baguette,sardines,apples,peppers,avocado,ice cream,soda
896,sardines,Heineken,chicken,Coke,ice cream,artichoke,corned beef
897,sardines,Heineken,chicken,Coke,ice cream,baguette,artichoke
898,avocado,crackers,artichoke,Heineken,ham,corned beef,bourbon
899,baguette,soda,herring,crackers,Heineken,sardines,peppers
900,sardines,Heineken,chicken,Coke,ice cream,peppers,bourbon
901,baguette,sardines,apples,peppers,avocado,Coke,steak
902,baguette,soda,herring,crackers,Heineken,apples,chicken
903,soda,olives,bourbon,crackers,Heineken,peppers,apples
904,soda,olives,bourbon,crackers,Heineken,turkey,herring
905,soda,olives,bourbon,crackers,Heineken,turkey,avocado
906,herring,corned beef,apples,olives,steak,chicken,artichoke
907,baguette,sardines,apples,peppers,avocado,olives,turkey
908,herring,corned beef,olives,ham,turkey,chicken,peppers
909,baguette,soda,herring,crackers,Heineken,avocado,steak
910,sardines,Heineken,chicken,Coke,ice cream,steak,ham
911,herring,corned beef,apples,olives,steak,Coke,Heineken
912,herring,corned beef,apples,olives,steak,peppers,ice cream
913,herring,corned beef,apples,olives,steak,ham,Heineken
914,soda,olives,bourbon,crackers,Heineken,baguette,artichoke
915,herring,corned beef,apples,olives,steak,turkey,baguette
916,avocado,crackers,artichoke,Heineken,ham,steak,steak
917,baguette,herring,avocado,artichoke,Heineken,Bordeaux,Coke
918,baguette,soda,herring,crackers,Heineken,apples,artichoke
919,baguette,herring,avocado,artichoke,Heineken,olives,crackers
920,sardines,Heineken,chicken,Coke,ice cream,steak,crackers
921,avocado,crackers,artichoke,Heineken,ham,ice cream,apples
922,sardines,Heineken,chicken,Coke,ice cream,bourbon,turkey
923,soda,olives,bourbon,crackers,Heineken,sardines,avocado
924,baguette,sardines,apples,peppers,avocado,bourbon,Coke
925,soda,olives,bourbon,crackers,Heineken,herring,herring
926,baguette,sardines,apples,peppers,avocado,chicken,herring
